"","Gene","mean","median","sd","max","Patient_ID","Sample","Tissue","Timepoint","Annotation","BestResponse","Residual"
"JAK1","JAK1",1.490600087,1.42514994,1.13811503237351,6.28367638,0.00888295712134024,0.0000000293417871766127,0.000000000798605989502547,0.0000000101011759710578,0.00540401359530046,0.0000115702639588552,0.985701418777831
"ACTA2","ACTA2",2.01950741,1.837012,1.40914214690149,6.3284186,0.00887110626825014,0.0203278874956052,0.000000000623088797655977,0.00000000411326514887848,0,0.000000000640790065003277,0.970801000859001
"CTSB","CTSB",0.523099698,0.15158366,0.88298931338699,6.29485758,0.00875889290233511,0,0,0,0.000000000354375074351414,0.00365548913580237,0.987585617607488
"IL12RB2","IL12RB2",0.136195791,0,0.350207920987563,3.943475555,0.00869323639312675,0,0,0,0,0,0.991306763606873
"FAS","FAS",0.739730331,0.45184232,0.857385070982505,5.63086605,0.00853336813186296,0,0.000260590948344294,0,0.00092512483536085,0.00000000276385434658986,0.990280913320578
"IFITM3","IFITM3",2.48878288,2.4134197,1.44168833196241,7.3121344,0.00848839415270234,0,0,0,0.0126896802265479,0.0023683315930023,0.976453594027747
"CXCL2","CXCL2",0.015201747,0,0.0608569966130566,0.875570152,0.00842913697906167,0,0.000252309556316208,0.000000000444321156122622,0,0.0166651588391443,0.974653394181157
"GPR183","GPR183",0.2638753,0.013662467,0.559595928884598,5.440868835,0.00822839780578602,0.00000000015658932996085,0,0,0.00765817974530182,0.00000000047625392452725,0.984113421816069
"IL22RA1","IL22RA1",0.011075491,0,0.0449272086715464,0.598171523,0.00817335497519272,0,0,0.0015165958990084,0.023161130123664,0.0000000327738170852508,0.967148886228318
"TRAT1","TRAT1",0.242381082,0.01623529,0.583701021373429,4.51380249,0.00810872137136662,0,0.000953149143171732,0.00412107641613813,0.00289416854183229,0,0.983922884527491
"NOTCH2","NOTCH2",2.879259218,3.1478505,1.57891453927306,6.7125889,0.00806989020064178,0,0.00631239741477269,0.000000000551060221083923,0,0,0.985617711833525
"CCL2","CCL2",0.187646386,0.053076852,0.434275236094856,6.294857583,0.00787965777601107,0.0132259238250798,0,0.000000000127679486722777,0.0068295859549185,0.000000000184982161664043,0.972064832131329
"SELL","SELL",0.528323878,0.079126299,1.00574317740709,5.630866049,0.00780935193272217,0,0,0.00369152160016249,0,0.0000000017814153534531,0.9884991246857
"ERBB3","ERBB3",0.193400693,0,0.685921065903213,6.905151855,0.00777758248375562,0,0,0.000000000112975291229347,0,0,0.992222417403269
"FADD","FADD",0.295296551,0.18900581,0.510606174664379,6.51587538,0.00755101517017555,0,0,0,0.0117447866015491,0,0.980704198228275
"LTB","LTB",0.401367932,0.016954813,0.887616182031951,5.85708949,0.00748544488904045,0.0118368868299769,0.00233459364749155,0,0.00135866011991054,0.000000000332777873183959,0.976984414180803
